cve_id,published_date,last_modified_date,description,cvss_score
CVE-1999-0099,1995-10-19T04:00:00.000,2022-08-17T07:15:10.977,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,10.0
CVE-1999-0241,1995-11-01T05:00:00.000,2022-08-17T07:15:14.713,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",10.0
CVE-1999-0080,1995-11-30T05:00:00.000,2022-08-17T06:15:09.930,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",10.0
CVE-1999-0123,1995-12-01T05:00:00.000,2022-08-17T07:15:11.413,Race condition in Linux mailx command allows local users to read user files.,3.7
CVE-1999-0316,1995-12-01T05:00:00.000,2022-08-17T08:15:09.487,Buffer overflow in Linux splitvt command gives root access to local users.,7.2
CVE-1999-0325,1995-12-01T05:00:00.000,2008-09-09T12:34:17.477,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,7.2
CVE-1999-0208,1995-12-12T05:00:00.000,2022-08-17T07:15:13.980,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,10.0
CVE-1999-1186,1996-01-02T05:00:00.000,2016-10-18T02:02:03.637,"rxvt, when compiled with the PRINT_PIPE option in various Linux operating systems including Linux Slackware 3.0 and RedHat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.",7.2
CVE-1999-1319,1996-01-03T05:00:00.000,2008-09-10T19:01:42.493,Vulnerability in object server program in SGI IRIX 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,10.0
CVE-1999-1491,1996-02-02T05:00:00.000,2016-10-18T02:04:58.870,"abuse.console in Red Hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a Trojan horse program.",7.2
CVE-1999-0103,1996-02-08T05:00:00.000,2018-08-22T18:29:00.293,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",5.0
CVE-1999-0143,1996-02-21T05:00:00.000,2022-08-17T07:15:12.077,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,4.6
CVE-1999-0233,1996-02-25T05:00:00.000,2023-11-07T01:54:56.213,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,10.0
CVE-1999-0142,1996-03-01T05:00:00.000,2022-08-17T07:15:12.013,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,7.5
CVE-1999-0067,1996-03-20T05:00:00.000,2024-01-26T20:00:52.747,phf CGI program allows remote command execution through shell metacharacters.,10.0
CVE-1999-0141,1996-03-29T05:00:00.000,2008-09-09T12:33:49.757,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,3.7
CVE-1999-0070,1996-04-01T05:00:00.000,2023-11-07T01:54:54.613,test-cgi program allows an attacker to list files on the server.,5.0
CVE-1999-1103,1996-04-03T05:00:00.000,2008-09-05T20:18:43.777,dxconsole in DEC OSF/1 3.2C and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,4.6
CVE-1999-0078,1996-04-18T04:00:00.000,2022-08-17T07:15:10.370,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",1.9
CVE-1999-0019,1996-04-24T04:00:00.000,2008-09-09T12:33:32.460,"Delete or create a file via rpc.statd, due to invalid information.",5.0
CVE-1999-1314,1996-05-17T04:00:00.000,2008-09-10T19:01:42.147,"Vulnerability in union file system in FreeBSD 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.",2.1
CVE-1999-1313,1996-05-23T04:00:00.000,2017-12-19T02:29:07.737,Manual page reader (man) in FreeBSD 2.2 and earlier allows local users to gain privileges via a sequence of commands.,4.6
CVE-1999-0522,1996-05-28T04:00:00.000,2022-08-17T08:15:13.867,The permissions for a system-critical NIS+ table (e.g. passwd) are inappropriate.,7.2
CVE-1999-0509,1996-05-29T04:00:00.000,2022-08-17T06:15:15.057,"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",10.0
CVE-1999-1205,1996-06-07T04:00:00.000,2018-05-03T01:29:05.083,"nettune in HP-UX 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.",2.1
CVE-1999-1253,1996-06-07T04:00:00.000,2017-12-19T02:29:05.690,"Vulnerability in a kernel error handling routine in SCO OpenServer 5.0.2 and earlier, and SCO Internet FastStart 1.0, allows local users to gain root privileges.",7.2
CVE-1999-0138,1996-06-26T04:00:00.000,2022-08-17T07:15:11.853,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",7.2
CVE-1999-0175,1996-07-01T04:00:00.000,2022-08-17T07:15:13.210,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,5.0
CVE-1999-0022,1996-07-03T04:00:00.000,2018-10-30T16:26:22.653,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",7.2
CVE-1999-0137,1996-07-09T04:00:00.000,2022-08-17T07:15:11.803,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,7.2
CVE-1999-1301,1996-07-16T04:00:00.000,2008-09-05T20:19:11.960,"A design flaw in the Z-Modem protocol allows the remote sender of a file to execute arbitrary programs on the client, as implemented in rz in the rzsz module of FreeBSD before 2.1.5, and possibly other programs.",7.5
CVE-1999-1572,1996-07-16T04:00:00.000,2017-10-19T01:29:00.470,"cpio on FreeBSD 2.1.0, Debian GNU/Linux 3.0, and possibly other operating systems, uses a 0 umask when creating files using the -O (archive) or -F options, which creates the files with mode 0666 and allows local users to read or overwrite those files.",2.1
CVE-1999-0023,1996-07-24T04:00:00.000,2022-08-17T07:15:08.357,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.",7.2
CVE-1999-0135,1996-07-25T04:00:00.000,2022-08-17T07:15:11.697,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,7.2
CVE-1999-0136,1996-07-31T04:00:00.000,2022-08-17T07:15:11.750,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,7.2
CVE-1999-0335,1996-08-01T04:00:00.000,2023-11-07T01:54:57.050,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-1999-0032. Reason: This candidate is a duplicate of CVE-1999-0032. Notes: All CVE users should reference CVE-1999-0032 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,
CVE-1999-1413,1996-08-03T04:00:00.000,2018-10-30T16:26:22.170,"Solaris 2.4 before kernel jumbo patch -35 allows set-gid programs to dump core even if the real user id is not in the set-gid group, which allows local users to overwrite or create files at higher privileges by causing a core dump, e.g. through dmesg.",4.6
CVE-1999-0134,1996-08-06T04:00:00.000,2008-09-09T12:33:49.273,vold in Solaris 2.x allows local users to gain root access.,7.2
CVE-1999-0133,1996-08-14T04:00:00.000,2022-08-17T07:15:11.643,fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.,2.1
CVE-1999-0132,1996-08-15T04:00:00.000,2018-10-30T16:26:22.170,"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",2.1
CVE-1999-0085,1996-08-21T04:00:00.000,2018-05-03T01:29:01.600,Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.,7.5
CVE-1999-1187,1996-08-26T04:00:00.000,2017-12-19T02:29:03.190,Pine before version 3.94 allows local users to gain privileges via a symlink attack on a lockfile that is created when a user receives new mail.,4.6
CVE-1999-1309,1996-08-30T04:00:00.000,2017-10-10T01:29:05.483,Sendmail before 8.6.7 allows local users to gain root access via a large value in the debug (-d) command line option.,7.2
CVE-1999-0324,1996-09-01T04:00:00.000,2008-09-09T12:34:17.413,ppl program in HP-UX allows local users to create root files through symlinks.,7.2
CVE-1999-1252,1996-09-04T04:00:00.000,2017-12-19T02:29:05.627,Vulnerability in a certain system call in SCO UnixWare 2.0.x and 2.1.0 allows local users to access arbitrary files and gain root privileges.,7.2
